Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,country
LJ Wright,2007-2012,22,20,3,439,99*,25.82,308,142.53,0,3,4,35,21,England
MH Yardy,2010-2010,7,3,1,8,8*,4.00,7,114.28,0,0,2,1,0,England
Aizaz Khan,2014-2016,5,4,3,8,7*,8.00,11,72.72,0,0,1,1,0,HongKong
Anshuman Rath,2016-2016,3,3,1,62,28*,31.00,62,100.00,0,0,0,3,0,HongKong
JJ Atkinson,2014-2016,6,6,0,126,53,21.00,124,101.61,0,1,0,14,3,HongKong
Babar Hayat,2014-2016,6,6,0,50,20,8.33,56,89.28,0,0,1,7,0,HongKong
RJ Campbell,2016-2016,3,3,0,36,27,12.00,47,76.59,0,0,1,6,0,HongKong
MS Chapman,2014-2016,6,6,0,123,40,20.50,131,93.89,0,0,0,7,3,HongKong
Ehsan Nawaz,2014-2014,1,-,-,-,-,-,-,-,-,-,-,-,-,HongKong
Haseeb Amjad,2014-2016,5,3,3,23,12*,-,21,109.52,0,0,0,1,1,HongKong
Irfan Ahmed,2014-2014,3,3,0,34,34,11.33,30,113.33,0,0,2,3,3,HongKong
A Mehmood,2016-2016,1,-,-,-,-,-,-,-,-,-,-,-,-,HongKong
Munir Dar,2014-2014,2,2,0,39,36,19.50,33,118.18,0,0,0,3,1,HongKong
Nadeem Ahmed,2014-2016,6,2,1,7,5,7.00,13,53.84,0,0,0,0,0,HongKong
Najeeb Amar,2014-2014,1,1,0,2,2,2.00,9,22.22,0,0,0,0,0,HongKong
Nizakat Khan,2014-2016,6,6,0,46,17,7.66,47,97.87,0,0,2,0,3,HongKong
KD Shah,2016-2016,3,2,1,18,11,18.00,19,94.73,0,0,0,2,0,HongKong
Tanwir Afzal,2014-2016,6,6,2,48,31*,12.00,47,102.12,0,0,3,4,2,HongKong
Waqas Barkat,2014-2014,3,3,0,50,32,16.66,53,94.33,0,0,1,6,0,HongKong
AC Botha,2009-2010,5,4,1,40,28,13.33,34,117.64,0,0,1,6,0,Ireland
JP Bray,2009-2009,2,2,0,2,2,1.00,17,11.76,0,0,1,0,0,Ireland
PC Connell,2009-2009,1,1,1,1,1*,-,2,50.00,0,0,0,0,0,Ireland
AR Cusack,2009-2014,12,7,3,53,20,13.25,42,126.19,0,0,0,4,1,Ireland
GH Dockrell,2010-2016,9,2,0,0,0,0.00,7,0.00,0,0,2,0,0,Ireland
DT Johnston,2009-2012,8,6,1,50,15*,10.00,43,116.27,0,0,1,1,3,Ireland
NG Jones,2012-2012,2,2,2,28,14*,-,21,133.33,0,0,0,0,2,Ireland
EC Joyce,2012-2014,5,5,0,126,43,25.20,128,98.43,0,0,0,11,2,Ireland
AR McBrine,2014-2016,5,2,2,11,10*,-,4,275.00,0,0,0,2,0,Ireland
WK McCallan,2009-2009,5,3,2,11,9*,11.00,15,73.33,0,0,1,1,0,Ireland
JF Mooney,2009-2010,7,6,2,82,31*,20.50,82,100.00,0,0,0,8,0,Ireland
TJ Murtagh,2014-2016,5,-,-,-,-,-,-,-,-,-,-,-,-,Ireland
KJ O'Brien,2009-2016,15,13,2,199,42*,18.09,158,125.94,0,0,3,16,8,Ireland
NJ O'Brien,2009-2016,11,10,2,161,40,20.12,150,107.33,0,0,0,14,4,Ireland
WTS Porterfield,2009-2016,15,14,2,253,47,21.08,241,104.97,0,0,2,25,5,Ireland
AD Poynter,2014-2016,6,5,1,95,57,23.75,69,137.68,0,1,1,8,5,Ireland
WB Rankin,2009-2016,10,2,1,6,5*,6.00,10,60.00,0,0,0,0,0,Ireland
MC Sorensen,2012-2016,6,2,0,9,9,4.50,8,112.50,0,0,1,0,0,Ireland
PR Stirling,2009-2016,11,10,1,162,60,18.00,131,123.66,0,1,2,24,3,Ireland
SR Thompson,2014-2014,3,1,1,3,3*,-,6,50.00,0,0,0,0,0,Ireland
RM West,2009-2009,5,4,1,11,8,3.66,11,100.00,0,0,0,1,0,Ireland
AR White,2009-2009,3,3,0,56,29,18.66,53,105.66,0,0,0,4,2,Ireland
GC Wilson,2009-2016,13,10,1,138,38,15.33,168,82.14,0,0,1,13,0,Ireland
CA Young,2016-2016,1,-,-,-,-,-,-,-,-,-,-,-,-,Ireland
Ahsan Malik,2014-2016,9,2,1,1,1*,1.00,3,33.33,0,0,1,0,0,Netherlands
W Barresi,2014-2016,10,9,1,160,48,20.00,131,122.13,0,0,0,11,8,Netherlands
PW Borren,2009-2016,12,11,0,187,49,17.00,158,118.35,0,0,1,22,5,Netherlands
Mudassar Bukhari,2014-2016,10,6,3,44,14*,14.66,43,102.32,0,0,0,2,1,Netherlands
BN Cooper,2014-2016,10,8,4,69,20,17.25,74,93.24,0,0,0,6,1,Netherlands
TLW Cooper,2014-2016,10,9,3,246,72*,41.00,188,130.85,0,1,1,24,10,Netherlands
TN de Grooth,2009-2009,2,2,0,53,49,26.50,37,143.24,0,0,0,6,1,Netherlands
AN Kervezee,2009-2009,2,2,0,22,21,11.00,33,66.66,0,0,0,1,0,Netherlands
SJ Myburgh,2014-2016,10,9,0,280,63,31.11,192,145.83,0,3,2,36,13,Netherlands
DP Nannes,2009-2009,2,1,0,6,6,6.00,7,85.71,0,0,0,0,0,Netherlands
DJ Reekers,2009-2009,2,2,0,33,20,16.50,19,173.68,0,0,0,4,2,Netherlands
E Schiferli,2009-2009,2,2,1,7,5*,7.00,13,53.84,0,0,0,0,0,Netherlands
PM Seelaar,2009-2016,12,4,1,13,7*,4.33,17,76.47,0,0,0,1,0,Netherlands
J Smits,2009-2009,2,1,1,11,11*,-,17,64.70,0,0,0,0,0,Netherlands
MR Swart,2014-2014,7,6,0,76,26,12.66,81,93.82,0,0,1,9,1,Netherlands
RN ten Doeschate,2009-2009,2,2,1,36,22*,36.00,27,133.33,0,0,0,2,1,Netherlands
LV van Beek,2014-2016,8,4,1,7,4*,2.33,15,46.66,0,0,0,0,0,Netherlands
DLS van Bunge,2009-2009,2,2,0,8,8,4.00,10,80.00,0,0,1,1,0,Netherlands
T van der Gugten,2014-2016,10,2,1,8,8,8.00,12,66.66,0,0,0,0,0,Netherlands
RE van der Merwe,2016-2016,3,2,0,3,2,1.50,5,60.00,0,0,0,0,0,Netherlands
PA van Meekeren,2016-2016,3,-,-,-,-,-,-,-,-,-,-,-,-,Netherlands
B Zuiderent,2009-2009,2,2,0,25,13,12.50,31,80.64,0,0,0,3,0,Netherlands
CJ Anderson,2014-2016,9,7,1,113,34,18.83,106,106.60,0,0,1,10,2,NewZealand
SE Bond,2007-2010,11,4,0,11,5,2.75,13,84.61,0,0,1,1,0,NewZealand
TA Boult,2014-2014,2,1,0,3,3,3.00,8,37.50,0,0,0,0,0,NewZealand
DAJ Bracewell,2012-2012,2,2,1,3,2*,3.00,2,150.00,0,0,0,0,0,NewZealand
NT Broom,2009-2009,2,1,0,1,1,1.00,5,20.00,0,0,0,0,0,NewZealand
IG Butler,2009-2010,7,3,3,3,2*,-,3,100.00,0,0,0,0,0,NewZealand
BJ Diamanti,2009-2009,1,-,-,-,-,-,-,-,-,-,-,-,-,NewZealand
GD Elliott,2016-2016,5,5,2,50,27,16.66,46,108.69,0,0,0,4,0,NewZealand
JEC Franklin,2009-2012,8,7,2,134,50,26.80,114,117.54,0,1,0,9,4,NewZealand
PG Fulton,2007-2007,5,5,1,77,25,19.25,73,105.47,0,0,1,3,5,NewZealand
MR Gillespie,2007-2007,6,3,2,10,7,10.00,16,62.50,0,0,0,0,0,NewZealand
MJ Guptill,2009-2016,21,20,2,409,80,22.72,368,111.14,0,1,0,40,15,NewZealand
RM Hira,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-,-,NewZealand
GJ Hopkins,2010-2010,5,4,0,22,18,5.50,23,95.65,0,0,0,0,2,NewZealand
MJ McClenaghan,2014-2016,8,3,2,7,6*,7.00,3,233.33,0,0,0,0,1,NewZealand
BB McCullum,2007-2014,25,25,3,637,123,28.95,496,128.42,1,2,2,67,19,NewZealand
NL McCullum,2007-2016,22,15,6,102,26*,11.33,95,107.36,0,0,1,7,5,NewZealand
PD McGlashan,2009-2009,5,3,0,15,8,5.00,16,93.75,0,0,0,1,0,NewZealand
CD McMillan,2007-2007,6,5,1,163,57,40.75,90,181.11,0,1,0,7,13,NewZealand
CS Martin,2007-2007,4,-,-,-,-,-,-,-,-,-,-,-,-,NewZealand
KD Mills,2009-2014,15,4,1,8,4,2.66,17,47.05,0,0,1,2,0,NewZealand
AF Milne,2012-2016,5,2,2,2,2*,-,2,100.00,0,0,0,0,0,NewZealand
C Munro,2014-2016,7,6,0,125,46,20.83,111,112.61,0,0,0,12,4,NewZealand
JDS Neesham,2014-2014,2,2,1,7,7*,7.00,8,87.50,0,0,1,0,0,NewZealand
HM Nicholls,2016-2016,1,1,0,7,7,7.00,11,63.63,0,0,0,1,0,NewZealand
RJ Nicol,2012-2012,5,4,0,105,58,26.25,88,119.31,0,1,0,7,5,NewZealand
IE O'Brien,2009-2009,1,-,-,-,-,-,-,-,-,-,-,-,-,NewZealand
JDP Oram,2007-2012,18,15,1,189,35,13.50,143,132.16,0,0,1,14,8,NewZealand
JS Patel,2007-2007,2,2,1,0,0*,0.00,1,0.00,0,0,1,0,0,NewZealand
AJ Redmond,2009-2010,4,4,0,117,63,29.25,72,162.50,0,1,0,18,2,NewZealand
L Ronchi,2014-2016,9,7,2,57,21*,11.40,40,142.50,0,0,0,4,2,NewZealand
JD Ryder,2009-2010,6,6,0,124,42,20.66,97,127.83,0,0,0,11,6,NewZealand
MJ Santner,2016-2016,5,4,0,29,18,7.25,27,107.40,0,0,0,3,0,NewZealand
IS Sodhi,2016-2016,5,-,-,-,-,-,-,-,-,-,-,-,-,NewZealand
TG Southee,2010-2014,10,3,2,1,1,1.00,3,33.33,0,0,0,0,0,NewZealand
SB Styris,2007-2010,16,14,2,233,42,19.41,196,118.87,0,0,0,10,12,NewZealand
LRPL Taylor,2007-2016,28,25,5,562,62*,28.10,440,127.72,0,3,1,32,23,NewZealand
DL Vettori,2007-2012,17,12,3,134,38,14.88,113,118.58,0,0,1,10,2,NewZealand
