Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St,country
AD Mascarenhas,2007-2009,8,8,21.0,0,167,6,3/18,27.83,7.95,21.0,0,0,2,0,England
EJG Morgan,2009-2016,23,-,-,-,-,-,-,-,-,-,-,-,9,0,England
SD Parry,2014-2014,1,1,2.0,0,23,0,-,-,11.50,-,0,0,2,0,England
SR Patel,2012-2012,3,3,9.0,0,71,2,2/6,35.50,7.88,27.0,0,0,0,0,England
KP Pietersen,2007-2010,15,1,1.0,0,9,0,-,-,9.00,-,0,0,4,0,England
LE Plunkett,2016-2016,4,4,16.0,1,102,2,1/23,51.00,6.37,48.0,0,0,0,0,England
MJ Prior,2007-2007,3,-,-,-,-,-,-,-,-,-,-,-,4,0,England
AU Rashid,2009-2016,10,10,32.0,0,255,8,2/18,31.87,7.96,24.0,0,0,2,0,England
JE Root,2016-2016,6,2,2.0,0,22,2,2/9,11.00,11.00,6.0,0,0,4,0,England
JJ Roy,2016-2016,6,-,-,-,-,-,-,-,-,-,-,-,1,0,England
CP Schofield,2007-2007,4,4,12.5,0,92,4,2/15,23.00,7.16,19.2,0,0,1,0,England
OA Shah,2007-2009,10,-,-,-,-,-,-,-,-,-,-,-,2,0,England
RJ Sidebottom,2009-2010,10,10,30.5,0,229,13,3/23,17.61,7.42,14.2,0,0,3,0,England
JN Snape,2007-2007,1,1,1.0,0,12,0,-,-,12.00,-,0,0,1,0,England
VS Solanki,2007-2007,2,-,-,-,-,-,-,-,-,-,-,-,2,0,England
BA Stokes,2016-2016,6,6,18.4,0,179,4,3/26,44.75,9.58,28.0,0,0,5,0,England
GP Swann,2009-2012,16,15,55.0,2,358,22,3/24,16.27,6.50,15.0,0,0,1,0,England
RJW Topley,2016-2016,2,2,4.1,0,55,1,1/22,55.00,13.20,25.0,0,0,0,0,England
JC Tredwell,2014-2014,4,3,11.0,0,84,1,1/25,84.00,7.63,66.0,0,0,0,0,England
CT Tremlett,2007-2007,1,1,4.0,0,45,2,2/45,22.50,11.25,12.0,0,0,0,0,England
JM Vince,2016-2016,1,-,-,-,-,-,-,-,-,-,-,-,0,0,England
DJ Willey,2016-2016,6,6,21.0,0,159,10,3/20,15.90,7.57,12.6,0,0,3,0,England
LJ Wright,2007-2012,22,6,10.0,0,75,2,1/5,37.50,7.50,30.0,0,0,10,0,England
MH Yardy,2010-2010,7,6,20.0,0,136,4,2/19,34.00,6.80,30.0,0,0,3,0,England
Aizaz Khan,2014-2016,5,5,15.0,0,119,4,2/33,29.75,7.93,22.5,0,0,1,0,HongKong
Anshuman Rath,2016-2016,3,2,2.0,0,21,0,-,-,10.50,-,0,0,1,0,HongKong
JJ Atkinson,2014-2016,6,-,-,-,-,-,-,-,-,-,-,-,2,0,HongKong
Babar Hayat,2014-2016,6,-,-,-,-,-,-,-,-,-,-,-,2,0,HongKong
RJ Campbell,2016-2016,3,3,10.0,0,68,2,2/28,34.00,6.80,30.0,0,0,1,0,HongKong
MS Chapman,2014-2016,6,1,2.0,0,19,0,-,-,9.50,-,0,0,1,0,HongKong
Ehsan Nawaz,2014-2014,1,1,1.0,0,10,0,-,-,10.00,-,0,0,0,0,HongKong
Haseeb Amjad,2014-2016,5,5,15.0,0,137,4,3/25,34.25,9.13,22.5,0,0,1,0,HongKong
Irfan Ahmed,2014-2014,3,3,9.0,0,66,1,1/17,66.00,7.33,54.0,0,0,1,0,HongKong
A Mehmood,2016-2016,1,-,-,-,-,-,-,-,-,-,-,-,0,0,HongKong
Munir Dar,2014-2014,2,-,-,-,-,-,-,-,-,-,-,-,1,0,HongKong
Nadeem Ahmed,2014-2016,6,6,20.3,0,139,9,4/21,15.44,6.78,13.6,1,0,3,0,HongKong
Najeeb Amar,2014-2014,1,1,3.0,0,29,1,1/29,29.00,9.66,18.0,0,0,0,0,HongKong
Nizakat Khan,2014-2016,6,2,6.0,0,42,3,3/19,14.00,7.00,12.0,0,0,3,0,HongKong
KD Shah,2016-2016,3,-,-,-,-,-,-,-,-,-,-,-,1,0,HongKong
Tanwir Afzal,2014-2016,6,6,17.0,0,109,5,2/19,21.80,6.41,20.4,0,0,0,0,HongKong
Waqas Barkat,2014-2014,3,-,-,-,-,-,-,-,-,-,-,-,2,0,HongKong
AC Botha,2009-2010,5,2,6.0,0,36,3,2/7,12.00,6.00,12.0,0,0,4,0,Ireland
JP Bray,2009-2009,2,-,-,-,-,-,-,-,-,-,-,-,2,0,Ireland
PC Connell,2009-2009,1,1,1.0,0,14,0,-,-,14.00,-,0,0,0,0,Ireland
AR Cusack,2009-2014,12,11,32.0,0,294,11,4/18,26.72,9.18,17.4,1,0,1,0,Ireland
GH Dockrell,2010-2016,9,8,23.1,0,162,11,3/7,14.72,6.99,12.6,0,0,2,0,Ireland
DT Johnston,2009-2012,8,7,26.0,1,197,7,3/20,28.14,7.57,22.2,0,0,0,0,Ireland
NG Jones,2012-2012,2,-,-,-,-,-,-,-,-,-,-,-,0,0,Ireland
EC Joyce,2012-2014,5,-,-,-,-,-,-,-,-,-,-,-,4,0,Ireland
AR McBrine,2014-2016,5,5,11.0,0,101,5,2/15,20.20,9.18,13.2,0,0,0,0,Ireland
WK McCallan,2009-2009,5,5,19.3,0,137,8,2/26,17.12,7.02,14.6,0,0,1,0,Ireland
JF Mooney,2009-2010,7,-,-,-,-,-,-,-,-,-,-,-,5,0,Ireland
TJ Murtagh,2014-2016,5,5,13.5,0,128,2,1/20,64.00,9.25,41.5,0,0,1,0,Ireland
KJ O'Brien,2009-2016,15,12,30.0,0,233,9,2/17,25.88,7.76,20.0,0,0,6,0,Ireland
NJ O'Brien,2009-2016,11,-,-,-,-,-,-,-,-,-,-,-,7,4,Ireland
WTS Porterfield,2009-2016,15,-,-,-,-,-,-,-,-,-,-,-,7,0,Ireland
AD Poynter,2014-2016,6,-,-,-,-,-,-,-,-,-,-,-,0,0,Ireland
WB Rankin,2009-2016,10,10,33.0,0,233,8,2/25,29.12,7.06,24.7,0,0,4,0,Ireland
MC Sorensen,2012-2016,6,3,6.4,0,64,2,2/29,32.00,9.60,20.0,0,0,2,0,Ireland
PR Stirling,2009-2016,11,6,14.0,1,103,2,2/12,51.50,7.35,42.0,0,0,1,0,Ireland
SR Thompson,2014-2014,3,1,1.0,0,5,0,-,-,5.00,-,0,0,0,0,Ireland
RM West,2009-2009,5,5,19.0,0,142,3,1/23,47.33,7.47,38.0,0,0,1,0,Ireland
AR White,2009-2009,3,-,-,-,-,-,-,-,-,-,-,-,0,0,Ireland
GC Wilson,2009-2016,13,-,-,-,-,-,-,-,-,-,-,-,4,1,Ireland
CA Young,2016-2016,1,1,2.0,0,11,0,-,-,5.50,-,0,0,0,0,Ireland
Ahsan Malik,2014-2016,9,8,25.5,0,171,12,5/19,14.25,6.61,12.9,0,1,2,0,Netherlands
W Barresi,2014-2016,10,-,-,-,-,-,-,-,-,-,-,-,8,0,Netherlands
PW Borren,2009-2016,12,7,18.0,0,133,4,1/9,33.25,7.38,27.0,0,0,7,0,Netherlands
Mudassar Bukhari,2014-2016,10,8,26.4,0,181,3,3/12,60.33,6.78,53.3,0,0,2,0,Netherlands
BN Cooper,2014-2016,10,-,-,-,-,-,-,-,-,-,-,-,4,0,Netherlands
TLW Cooper,2014-2016,10,4,7.0,0,61,3,2/18,20.33,8.71,14.0,0,0,3,0,Netherlands
TN de Grooth,2009-2009,2,-,-,-,-,-,-,-,-,-,-,-,1,0,Netherlands
AN Kervezee,2009-2009,2,-,-,-,-,-,-,-,-,-,-,-,1,0,Netherlands
SJ Myburgh,2014-2016,10,-,-,-,-,-,-,-,-,-,-,-,2,0,Netherlands
DP Nannes,2009-2009,2,2,8.0,0,56,1,1/26,56.00,7.00,48.0,0,0,0,0,Netherlands
DJ Reekers,2009-2009,2,-,-,-,-,-,-,-,-,-,-,-,0,0,Netherlands
