Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,country,year,Overs,Mdns,runs_given,Wkts,BBI,bowling_average,Econ,bowling_strike_rate,4,5,Ct,St,Country,Role
MO Odumbe,8,8,3,211,52*,42.20,204,103.43,0,1,1,18,2,Kenya,2003,44.0,0,226,9,4/38,25.11,5.13,29.3,1,0,2,0,KENYA,All Rounder
SM Pollock,6,3,1,38,20*,19.00,48,79.16,0,0,0,1,0,SouthAfrica,1996,53.0,4,219,6,2/16,36.50,4.13,53.0,0,0,2,0,SA,All Rounder
SM Pollock,9,6,0,107,52,17.83,154,69.48,0,1,1,8,1,SouthAfrica,1999,84.0,11,283,9,5/36,31.44,3.36,56.0,0,1,4,0,SA,All Rounder
SM Pollock,6,4,0,71,32,17.75,74,95.94,0,0,0,1,2,SouthAfrica,2003,48.0,12,172,8,2/8,21.50,3.58,36.0,0,0,4,0,SA,All Rounder
SM Pollock,10,7,3,63,21*,15.75,93,67.74,0,0,0,3,1,SouthAfrica,2007,84.0,10,296,8,2/17,37.00,3.52,63.0,0,0,2,0,SA,All Rounder
RT Ponting,7,7,0,229,102,32.71,327,70.03,1,0,1,16,1,Australia,1996,-,-,-,-,-,-,-,-,-,-,1,0,AUS,Batsman
RT Ponting,10,10,1,354,69,39.33,532,66.54,0,1,0,32,5,Australia,1999,-,-,-,-,-,-,-,-,-,-,6,0,AUS,Batsman
RT Ponting,11,10,2,415,140*,51.87,472,87.92,2,1,0,29,13,Australia,2003,-,-,-,-,-,-,-,-,-,-,11,0,AUS,Batsman
RT Ponting,11,9,1,539,113,67.37,565,95.39,1,4,0,53,11,Australia,2007,-,-,-,-,-,-,-,-,-,-,7,0,AUS,Batsman
RT Ponting,7,6,0,206,104,34.33,284,72.53,1,0,0,15,1,Australia,2011,-,-,-,-,-,-,-,-,-,-,3,0,AUS,Batsman
BKV Prasad,7,2,1,0,0*,0.00,2,0.00,0,0,1,0,0,India,1996,65.0,1,312,8,3/45,39.00,4.80,48.7,0,0,1,0,INDIA,Bowler
BKV Prasad,7,3,1,4,2*,2.00,13,30.76,0,0,1,0,0,India,1999,64.5,4,266,9,5/27,29.55,4.10,43.2,0,1,1,0,INDIA,Bowler
