Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,country
Arafat Sunny,2015-2015,1,1,1,3,3*,-,3,100.00,0,0,0,0,0,Bangladesh
Ehsanul Haque,2003-2003,4,4,0,28,13,7.00,72,38.88,0,0,1,4,0,Bangladesh
Enamul Haque,1999-1999,4,4,1,59,19,19.66,102,57.84,0,0,0,6,0,Bangladesh
Faruk Ahmed,1999-1999,2,2,0,16,9,8.00,40,40.00,0,0,0,2,0,Bangladesh
Habibul Bashar,2003-2007,11,10,0,105,32,10.50,238,44.11,0,0,2,5,0,Bangladesh
Hannan Sarkar,2003-2003,3,3,0,34,25,11.33,60,56.66,0,0,1,6,0,Bangladesh
Hasibul Hossain,1999-1999,4,3,0,23,16,7.66,49,46.93,0,0,0,1,1,Bangladesh
Imrul Kayes,2011-2015,9,9,1,197,73*,24.62,312,63.14,0,2,0,21,0,Bangladesh
Javed Omar,2007-2007,3,3,0,55,22,18.33,141,39.00,0,0,0,6,0,Bangladesh
Junaid Siddique,2011-2011,6,6,0,114,37,19.00,159,71.69,0,0,0,11,1,Bangladesh
Khaled Mahmud,1999-2003,9,8,0,87,27,10.87,150,58.00,0,0,1,5,1,Bangladesh
Khaled Mashud,1999-2003,11,10,2,139,35*,17.37,330,42.12,0,0,1,13,0,Bangladesh
Liton Das,2019-2019,5,5,1,184,94*,46.00,167,110.17,0,1,0,16,5,Bangladesh
Mahmudullah,2011-2019,17,15,3,616,128*,51.33,755,81.58,2,2,0,46,11,Bangladesh
Manjural Islam,1999-2003,10,7,5,13,6*,6.50,35,37.14,0,0,1,0,0,Bangladesh
Mashrafe Mortaza,2003-2019,24,18,3,199,37,13.26,243,81.89,0,0,2,19,7,Bangladesh
Mehidy Hasan Miraz,2019-2019,7,5,2,37,12,12.33,33,112.12,0,0,0,4,0,Bangladesh
Mehrab Hossain,1999-1999,5,5,0,120,64,24.00,270,44.44,0,1,0,11,1,Bangladesh
Minhajul Abedin,1999-1999,4,4,2,140,68*,70.00,249,56.22,0,2,0,14,0,Bangladesh
