Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,country,Overs,Mdns,runs_given,Wkts,BBI,bowling_average,Econ,bowling_strike_rate,4,5,Ct,St,num_seasons,Role
JAR Blain,1999-2007,8,7,2,56,23,11.2,113,49.55,0,0,2,2,2,Scotland,50.1,1,300,12,4/37,25,5.98,25,1,0,1,0,3,Bowler
HM Amla,2011-2019,22,22,2,842,159,42.1,1012,83.2,2,5,0,76,6,SouthAfrica,-,-,-,-,-,-,-,-,-,-,11,0,3,Batsman
MV Boucher,1999-2007,25,19,5,381,75*,27.21,405,94.07,0,2,2,26,15,SouthAfrica,-,-,-,-,-,-,-,-,-,-,31,0,3,Wicket Keeper
WJ Cronje,1992-1999,23,20,4,476,78,29.75,591,80.54,0,2,2,33,8,SouthAfrica,74,2,329,8,2/17,41.12,4.44,55.5,0,0,10,0,3,All Rounder
DJ Cullinan,1996-1999,15,15,3,471,69,39.25,696,67.67,0,3,1,37,6,SouthAfrica,2,0,7,0,-,-,3.5,-,0,0,11,0,2,Batsman
Q de Kock,2015-2019,17,17,2,450,78*,30,526,85.55,0,4,1,55,4,SouthAfrica,-,-,-,-,-,-,-,-,-,-,18,1,2,Wicket Keeper
AB de Villiers,2007-2015,23,22,3,1207,162*,63.52,1029,117.29,4,6,4,121,37,SouthAfrica,14,0,86,4,2/15,21.5,6.14,21,0,0,12,0,3,Batsman
AA Donald,1992-2003,25,5,2,13,7,4.33,40,32.5,0,0,1,0,0,SouthAfrica,218.5,14,913,38,4/17,24.02,4.17,34.5,2,0,3,0,4,Bowler
JP Duminy,2011-2019,18,16,3,458,115*,35.23,461,99.34,1,1,1,31,9,SouthAfrica,61,2,348,9,3/29,38.66,5.7,40.6,0,0,9,0,3,All Rounder
F du Plessis,2011-2019,23,21,5,926,109,57.87,1070,86.54,2,7,0,74,11,SouthAfrica,15,0,85,1,1/22,85,5.66,90,0,0,16,0,3,Batsman
HH Gibbs,1999-2007,25,23,4,1067,143,56.15,1221,87.38,2,8,1,106,28,SouthAfrica,-,-,-,-,-,-,-,-,-,-,10,0,3,Batsman
AJ Hall,2003-2007,12,5,2,50,22*,16.66,49,102.04,0,0,1,3,1,SouthAfrica,99,8,438,19,5/18,23.05,4.42,31.2,0,1,2,0,2,Bowler
AC Hudson,1992-1996,12,12,0,571,161,47.58,738,77.37,1,4,0,64,4,SouthAfrica,-,-,-,-,-,-,-,-,-,-,2,0,2,Batsman
Imran Tahir,2011-2019,22,8,4,20,10*,5,34,58.82,0,0,3,1,0,SouthAfrica,191.5,7,847,40,5/45,21.17,4.41,28.7,4,1,6,0,3,Bowler
JH Kallis,1996-2011,36,32,7,1148,128*,45.92,1543,74.4,1,9,2,86,13,SouthAfrica,211,13,904,21,3/26,43.04,4.28,60.2,0,0,13,0,5,All Rounder
G Kirsten,1996-2003,21,21,4,806,188*,47.41,1068,75.46,1,5,2,79,7,SouthAfrica,3,1,9,0,-,-,3,-,0,0,9,0,3,Batsman
L Klusener,1999-2003,14,11,8,372,57,124,307,121.17,0,3,0,31,16,SouthAfrica,100.5,7,487,22,5/21,22.13,4.82,27.5,1,1,2,0,2,All Rounder
CK Langeveldt,2003-2007,9,4,1,16,9,5.33,57,28.07,0,0,1,1,0,SouthAfrica,71,3,385,14,5/39,27.5,5.42,30.4,0,1,1,0,2,Bowler
BM McMillan,1992-1996,15,9,4,145,33*,29,192,75.52,0,0,0,4,0,SouthAfrica,116,12,433,17,3/11,25.47,3.73,40.9,0,0,8,0,2,All Rounder
DA Miller,2015-2019,14,11,2,460,138*,51.11,390,117.94,1,0,1,29,15,SouthAfrica,-,-,-,-,-,-,-,-,-,-,3,0,2,Batsman
M Morkel,2011-2015,14,4,1,12,6*,4,33,36.36,0,0,0,1,0,SouthAfrica,108.3,4,506,26,3/33,19.46,4.66,25,0,0,4,0,2,Bowler
M Ntini,2003-2007,13,5,0,29,14,5.8,28,103.57,0,0,2,3,1,SouthAfrica,115.1,10,469,16,4/24,29.31,4.07,43.1,1,0,1,0,2,Bowler
