Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,country,year
KC Sangakkara,10,9,2,176,39*,25.14,239,73.64,0,0,0,16,0,SriLanka,2003
Yousuf Youhana,6,6,0,170,58,28.33,221,76.92,0,1,1,12,0,Pakistan,2003
HH Streak,8,6,2,166,72*,41.50,169,98.22,0,1,1,15,4,Zimbabwe,2003
JF Kloppenburg,5,5,0,158,121,31.60,243,65.02,1,0,1,11,4,Netherlands,2003
A Flintoff,5,5,0,156,64,31.20,217,71.88,0,1,1,11,6,England,2003
TM Odoyo,7,7,2,156,43*,31.20,257,60.70,0,0,0,17,1,Kenya,2003
KJJ van Noortwijk,4,4,1,154,134*,51.33,160,96.25,1,0,1,14,3,Netherlands,2003
MG Bevan,9,5,2,148,74*,49.33,264,56.06,0,2,1,11,2,Australia,2003
IS Billcliff,6,6,0,147,71,24.50,253,58.10,0,1,0,16,2,Canada,2003
MP Vaughan,5,5,0,139,52,27.80,181,76.79,0,2,0,19,0,England,2003
PD Collingwood,5,5,2,137,66*,45.66,184,74.45,0,1,0,10,1,England,2003
AJ Stewart,5,4,0,136,60,34.00,204,66.66,0,1,1,11,1,England,2003
DLS van Bunge,6,5,0,135,62,27.00,245,55.10,0,1,0,14,1,Netherlands,2003
D Keulder,6,6,0,132,52,22.00,220,60.00,0,1,1,11,0,Namibia,2003
ML Hayden,11,10,1,659,158,73.22,652,101.07,3,1,0,69,18,Australia,2007
DPMD Jayawardene,11,11,2,548,115*,60.88,644,85.09,1,4,0,40,10,SriLanka,2007
RT Ponting,11,9,1,539,113,67.37,565,95.39,1,4,0,53,11,Australia,2007
SB Styris,10,9,3,499,111*,83.16,598,83.44,1,4,0,45,6,NewZealand,2007
JH Kallis,10,9,3,485,128*,80.83,578,83.91,1,3,0,43,7,SouthAfrica,2007
ST Jayasuriya,11,11,1,467,115,46.70,475,98.31,2,2,0,47,14,SriLanka,2007
AC Gilchrist,11,11,1,453,149,45.30,436,103.89,1,2,0,58,10,Australia,2007
KP Pietersen,9,9,1,444,104,55.50,548,81.02,2,3,0,36,5,England,2007
GC Smith,10,10,1,443,91,49.22,424,104.48,0,5,0,55,6,SouthAfrica,2007
MJ Clarke,11,9,4,436,93*,87.20,459,94.98,0,4,0,40,7,Australia,2007
RR Sarwan,9,9,1,375,92,46.87,481,77.96,0,2,0,32,5,WestIndies,2007
AB de Villiers,10,10,0,372,146,37.20,369,100.81,1,2,4,47,9,SouthAfrica,2007
SP Fleming,10,10,1,353,102*,39.22,409,86.30,1,3,1,40,9,NewZealand,2007
LPC Silva,11,10,2,350,64,43.75,452,77.43,0,4,0,28,4,SriLanka,2007
KC Sangakkara,11,11,1,350,76,35.00,465,75.26,0,4,1,30,2,SriLanka,2007
HH Gibbs,10,8,2,342,72,57.00,373,91.68,0,4,0,20,14,SouthAfrica,2007
S Chanderpaul,9,9,1,315,102*,39.37,517,60.92,1,2,0,23,9,WestIndies,2007
WU Tharanga,11,11,0,298,73,27.09,446,66.81,0,3,1,27,2,SriLanka,2007
PG Fulton,8,8,0,297,83,37.12,424,70.04,0,2,1,29,2,NewZealand,2007
PD Collingwood,9,9,3,276,90,46.00,368,75.00,0,2,0,24,4,England,2007
BC Lara,9,8,1,269,77,38.42,330,81.51,0,1,0,19,5,WestIndies,2007
CH Gayle,9,9,0,228,79,25.33,272,83.82,0,1,0,28,6,WestIndies,2007
CD McMillan,10,9,2,228,71,32.57,261,87.35,0,1,0,14,9,NewZealand,2007
TM Dilshan,11,9,2,217,58,31.00,236,91.94,0,1,0,15,2,SriLanka,2007
MN Samuels,8,8,1,216,63,30.85,285,75.78,0,2,0,22,6,WestIndies,2007
Mohammad Ashraful,9,9,3,216,87,36.00,267,80.89,0,1,0,27,1,Bangladesh,2007
NJ O'Brien,9,9,0,216,72,24.00,374,57.75,0,2,1,17,1,Ireland,2007
JP Bray,9,9,1,212,115*,26.50,338,62.72,1,0,2,22,2,Ireland,2007
IR Bell,8,8,0,211,77,26.37,349,60.45,0,1,1,19,0,England,2007
MP Vaughan,9,9,0,209,79,23.22,309,67.63,0,1,1,24,2,England,2007
Shakib Al Hasan,9,9,2,202,57*,28.85,353,57.22,0,2,1,15,3,Bangladesh,2007
PA Nixon,9,8,3,193,42*,38.60,194,99.48,0,0,0,17,5,England,2007
Imran Nazir,3,3,0,190,160,63.33,175,108.57,1,0,0,17,9,Pakistan,2007
A Symonds,9,8,5,189,63*,63.00,192,98.43,0,1,0,19,4,Australia,2007
MV Boucher,10,7,1,177,75*,29.50,129,137.20,0,2,2,13,11,SouthAfrica,2007
WTS Porterfield,9,9,0,172,85,19.11,379,45.38,0,1,2,7,0,Ireland,2007
Tamim Iqbal,9,9,0,172,51,19.11,275,62.54,0,1,0,25,2,Bangladesh,2007
KJ O'Brien,8,8,1,170,49,24.28,263,64.63,0,0,0,13,5,Ireland,2007
RS Bopara,8,7,2,165,52,33.00,215,76.74,0,1,1,18,0,England,2007
JDP Oram,9,7,2,165,63*,33.00,234,70.51,0,1,0,5,5,NewZealand,2007
V Sehwag,3,3,0,164,114,54.66,139,117.98,1,0,0,22,4,India,2007
SC Ganguly,3,3,0,162,89,54.00,266,60.90,0,2,0,10,2,India,2007
SO Tikolo,3,3,1,155,76,77.50,189,82.01,0,2,0,16,1,Kenya,2007
BJ Hodge,5,2,0,152,123,76.00,117,129.91,1,0,0,11,7,Australia,2007
EC Joyce,5,5,0,152,75,30.40,221,68.77,0,2,1,14,2,England,2007
SR Watson,8,6,5,145,65*,145.00,85,170.58,0,1,0,13,6,Australia,2007
Yuvraj Singh,3,3,0,136,83,45.33,116,117.24,0,1,0,6,8,India,2007
Mushfiqur Rahim,9,8,3,131,56*,26.20,273,47.98,0,1,1,9,2,Bangladesh,2007
DJ Bravo,9,8,2,129,37*,21.50,158,81.64,0,0,0,10,2,WestIndies,2007
DT Johnston,8,8,2,129,30,21.50,144,89.58,0,0,1,8,5,Ireland,2007
TM Dilshan,9,9,1,500,144,62.50,551,90.74,2,2,0,61,4,SriLanka,2011
SR Tendulkar,9,9,0,482,120,53.55,524,91.98,2,2,0,52,8,India,2011
KC Sangakkara,9,8,3,465,111,93.00,555,83.78,1,3,0,44,5,SriLanka,2011
IJL Trott,7,7,0,422,92,60.28,522,80.84,0,5,0,28,0,England,2011
WU Tharanga,9,9,2,395,133,56.42,472,83.68,2,1,0,52,2,SriLanka,2011
G Gambhir,9,9,0,393,97,43.66,462,85.06,0,4,0,37,0,India,2011
V Sehwag,8,8,0,380,175,47.50,310,122.58,1,1,1,49,7,India,2011
