Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,country,year
SR Waugh,8,7,0,187,55,26.71,239,78.24,0,1,0,12,1,Australia,1992
KC Wessels,9,9,2,313,85,44.71,583,53.68,0,3,0,23,0,SouthAfrica,1992
MR Whitney,7,3,2,22,9*,22.00,51,43.13,0,0,0,2,0,Australia,1992
GP Wickramasinghe,8,3,3,30,21*,-,41,73.17,0,0,0,1,0,SriLanka,1992
KIW Wijegunawardene,3,-,-,-,-,-,-,-,-,-,-,-,-,SriLanka,1992
D Williams,8,6,2,52,32*,13.00,70,74.28,0,0,1,6,0,WestIndies,1992
JG Wright,4,4,0,71,57,17.75,126,56.34,0,1,1,10,0,NewZealand,1992
Zahid Fazal,2,2,0,13,11,6.50,50,26.00,0,0,0,1,0,Pakistan,1992
Aamer Sohail,6,6,0,272,111,45.33,332,81.92,1,2,0,35,1,Pakistan,1996
Aaqib Javed,5,1,1,6,6*,-,10,60.00,0,0,0,0,0,Pakistan,1996
JC Adams,4,4,2,41,17*,20.50,87,47.12,0,0,0,5,0,WestIndies,1996
PR Adams,2,1,0,10,10,10.00,14,71.42,0,0,0,0,0,SouthAfrica,1996
RW Ali,6,2,2,6,6*,-,19,31.57,0,0,0,0,0,Kenya,1996
CEL Ambrose,6,4,1,13,8,4.33,31,41.93,0,0,0,1,0,WestIndies,1996
SA Ankola,1,-,-,-,-,-,-,-,-,-,-,-,-,India,1996
GJAF Aponso,5,4,0,120,58,30.00,247,48.58,0,1,0,11,1,Netherlands,1996
Arshad Laeeq,4,4,1,66,43*,22.00,140,47.14,0,0,1,9,0,UnitedArabEmirates,1996
KLT Arthurton,5,5,0,2,1,0.40,21,9.52,0,0,3,0,0,WestIndies,1996
NJ Astle,6,6,0,111,101,18.50,166,66.86,1,0,1,9,2,NewZealand,1996
Ata-ur-Rehman,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0,Pakistan,1996
MA Atherton,6,6,0,119,66,19.83,175,68.00,0,1,1,9,0,England,1996
M Azharuddin,7,6,1,143,72*,28.60,194,73.71,0,1,1,10,1,India,1996
Azhar Saeed,5,5,0,58,32,11.60,175,33.14,0,0,0,5,0,UnitedArabEmirates,1996
PJ Bakker,5,1,1,1,1*,-,4,25.00,0,0,0,0,0,Netherlands,1996
MG Bevan,7,5,1,125,69,31.25,179,69.83,0,1,0,6,1,Australia,1996
IR Bishop,6,4,1,35,17,11.66,95,36.84,0,0,0,1,1,WestIndies,1996
EA Brandes,2,1,0,7,7,7.00,13,53.84,0,0,0,1,0,Zimbabwe,1996
CO Browne,5,4,0,64,26,16.00,99,64.64,0,0,0,5,0,WestIndies,1996
CL Cairns,6,6,0,139,52,23.16,150,92.66,0,1,0,11,5,NewZealand,1996
ADR Campbell,6,6,0,114,75,19.00,202,56.43,0,1,2,14,0,Zimbabwe,1996
SL Campbell,4,4,0,57,47,14.25,119,47.89,0,0,0,7,0,WestIndies,1996
PE Cantrell,5,5,0,160,47,32.00,307,52.11,0,0,0,14,0,Netherlands,1996
S Chanderpaul,6,6,0,211,80,35.16,354,59.60,0,2,0,22,0,WestIndies,1996
DN Chudasama,6,5,0,103,34,20.60,154,66.88,0,0,0,18,0,Kenya,1996
NE Clarke,5,5,0,50,32,10.00,112,44.64,0,0,2,8,1,Netherlands,1996
DG Cork,5,3,0,36,19,12.00,46,78.26,0,0,1,3,1,England,1996
WJ Cronje,6,6,1,276,78,55.20,316,87.34,0,2,0,20,6,SouthAfrica,1996
CE Cuffy,1,1,0,1,1,1.00,8,12.50,0,0,0,0,0,WestIndies,1996
DJ Cullinan,6,6,2,255,69,63.75,305,83.60,0,2,0,16,3,SouthAfrica,1996
SG Davies,1,1,0,9,9,9.00,35,25.71,0,0,0,0,0,Zimbabwe,1996
PAJ DeFreitas,4,2,0,89,67,44.50,88,101.13,0,1,0,6,3,England,1996
TBM de Leede,5,5,0,90,41,18.00,138,65.21,0,0,1,11,0,Netherlands,1996
PA de Silva,6,6,1,448,145,89.60,416,107.69,2,2,0,57,7,SriLanka,1996
PS de Villiers,1,1,0,12,12,12.00,11,109.09,0,0,0,1,0,SouthAfrica,1996
HDPK Dharmasena,6,1,0,9,9,9.00,20,45.00,0,0,0,0,0,SriLanka,1996
AA Donald,4,-,-,-,-,-,-,-,-,-,-,-,-,SouthAfrica,1996
SF Dukanwala,5,4,2,84,40*,42.00,139,60.43,0,0,0,6,1,UnitedArabEmirates,1996
CN Evans,6,5,2,92,39*,30.66,112,82.14,0,0,0,11,1,Zimbabwe,1996
NH Fairbrother,5,5,2,88,36,29.33,135,65.18,0,0,0,4,0,England,1996
DW Fleming,6,1,0,0,0,0.00,1,0.00,0,0,1,0,0,Australia,1996
SP Fleming,6,6,0,193,66,32.16,277,69.67,0,1,0,20,0,NewZealand,1996
A Flower,6,6,1,51,28,10.20,85,60.00,0,0,0,4,0,Zimbabwe,1996
GW Flower,6,6,1,150,45,30.00,296,50.67,0,0,0,11+,0+,Zimbabwe,1996
LK Germon,6,6,3,191,89,63.66,225,84.88,0,1,0,13,1,NewZealand,1996
OD Gibson,3,2,0,7,6,3.50,7,100.00,0,0,0,1,0,WestIndies,1996
D Gough,6,4,2,66,26*,33.00,70,94.28,0,0,0,8,0,England,1996
EL Gouka,3,2,1,19,19,19.00,36,52.77,0,0,0,2,0,Netherlands,1996
AP Gurusinha,6,6,0,307,87,51.16,408,75.24,0,3,0,25,11,SriLanka,1996
RA Harper,6,6,1,78,23,15.60,111,70.27,0,0,0,8,1,WestIndies,1996
CZ Harris,4,4,0,156,130,39.00,173,90.17,1,0,0,14,4,NewZealand,1996
IA Healy,7,5,0,59,31,11.80,56,105.35,0,0,0,4,0,Australia,1996
GA Hick,5,5,1,212,104*,53.00,285,74.38,1,1,0,16,2,England,1996
RIC Holder,2,2,0,5,5,2.50,12,41.66,0,0,1,0,0,WestIndies,1996
AC Hudson,4,4,0,275,161,68.75,271,101.47,1,1,0,32,4,SouthAfrica,1996
Ijaz Ahmed,6,6,1,197,70,39.40,266,74.06,0,2,1,13,2,Pakistan,1996
RK Illingworth,4,2,2,4,3*,-,5,80.00,0,0,0,0,0,England,1996
Imtiaz Abbasi,5,4,3,4,2*,4.00,22,18.18,0,0,0,0,0,UnitedArabEmirates,1996
Inzamam-ul-Haq,6,5,2,145,53*,48.33,167,86.82,0,1,0,14,2,Pakistan,1996
IT Iqbal,3,2,0,17,16,8.50,52,32.69,0,0,0,2,0,Kenya,1996
A Jadeja,7,6,1,144,53,28.80,168,85.71,0,1,1,11,5,India,1996
F Jansen,2,-,-,-,-,-,-,-,-,-,-,-,-,Netherlands,1996
Javed Miandad,5,3,1,54,38,27.00,104,51.92,0,0,0,3,0,Pakistan,1996
